title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
The Negro's Onward March,Rev. L.C. Moore,Moore,"Nine million and a half
Traveling in a world of gloom,
And behind the cradle stands
That rocket...",January,1910,Washington Bee,,,male,"Progress and Racial Uplift, Religion",,"Washington, DC",Predom. Black,
Class Poem,Leroy E. Jones,Jones,"All hail with joy the senior class, the  class of 1910, 
For four long...",June,1910,Washington Bee,,,male,HBCU,,"Washington, DC",Predom. Black,
Japanese Hokku Poems ,Lewis Alexander,Alexander,"I am but a leaf
Clinging to the tree of life
In the world's garden.
* * *...",December,1927,Black Opals,Gwendolyn Bennett,Haiku,male,,,Philadelphia,Predom. Black,
Quatrains ,Lewis Alexander,Alexander,"The dawn has no tint of rose,
   Or seent of violet,
And noon brings...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Quatrain,male,,,Philadelphia,Predom. Black,
South Street ,Lewis Alexander,Alexander,"Charleston south
Charleston north
Charleston back
Charleston forth.
........hey! hey!
........hey! hey!
Sway, black girl, sway!
Charleston left
Charleston right
Charleston day
Charleston night.
........clap! clap!
........clap!...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,"Dance, Music, Philadelphia",,Philadelphia,Predom. Black,
To One Who Might Have Been My Friend ,Nellie R. Bright,Bright,"Do you remember how that glowing morn
We stood hands clasped beside an amber pool
Of lilies...",December,1927,Black Opals,Gwendolyn Bennett,Sonnet,female,Interracial,Carolina Magazine,Philadelphia,Predom. Black,
Query ,Nellie R. Bright,Bright,"Great wonder that my blood spurts ruby read
And not a green and slimy stream instead--
That...",December,1927,Black Opals,Gwendolyn Bennett,,female,,Carolina Magazine,Philadelphia,Predom. Black,
Longings ,Nellie R. Bright,Bright,"I want to slay all the things just things
That they tell me I must do,
I...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,female,,,Philadelphia,Predom. Black,
If She Were Not Dark ,Lorraine Chambers,Chambers,"I love the black and rippling hair
Of little Nina Clark,
I love her beauty, fresh and...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,female,"Black Beauty, Colorism",,Philadelphia,Predom. Black,
Goal ,Mae V. Cowdery,Cowdery,"My words shall drip
Like molten lava
From the towering black volcano,
On the sleeping town
’Neath its summit.
My...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,female,Progress and Racial Uplift,,Philadelphia,Predom. Black,
Hidden Moon ,Mae V. Cowdery,Cowdery,"My thoughts soared up
To the starless sky
And a cloud
Passed over the face
Of the yellow moon.
My...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,female,,,Philadelphia,Predom. Black,
Time ,Mae V. Cowdery,Cowdery,"I used to sit on a high green hill
And long for you to be like...",December,1927,Black Opals,Gwendolyn Bennett,Free Verse,female,,,Philadelphia,Predom. Black,
